bat_style,field_style,awards,importance,runs,batting_average,strike_rate,fours,sixes,label,bowl_style,wickets,bowling_average,economy_rate
,,,,,,,,,,,,,
right-hand bat,wicketkeeper,38.0,1.043478260869565,12080.0,35.11,145.31,1092.0,514.0,buy,,,,
right-hand bat,,10.0,1.207070707070707,5974.0,33.0,133.64,505.0,247.0,buy,"right-arm offbreak, legbreak googly",,,
left-hand bat,wicketkeeper,9.0,1.193370165745856,5022.0,31.78,145.06,460.0,228.0,buy,,,,
left-hand bat,,9.0,1.043478260869565,,,,,,buy,right-arm fast,268.0,23.67,8.03
left-hand bat,,4.0,1.240875912408759,,,,,,buy,left-arm medium-fast,206.0,22.26,8.45
left-hand bat,,8.0,1.532110091743119,,,,,,buy,left-arm fast,193.0,20.59,7.77
right-hand bat,,12.0,1.05,,,,,,buy,legbreak googly,364.0,23.42,7.64
right-hand bat,,20.0,1.100358422939068,,,,,,buy,"right-arm offbreak, legbreak",,,
left-hand bat,,26.0,1.082304526748971,11139.0,35.25,137.85,794.0,499.0,buy,right-arm offbreak,,,
right-hand bat,wicketkeeper,17.0,1.060465116279069,7586.0,41.91,135.85,643.0,311.0,buy,,,,
right-hand bat,,5.0,1.035294117647059,,,,,,buy,"right-arm offbreak, legbreak",25.0,19.52,7.89
right-hand bat,,5.0,1.035294117647059,,,,,,buy,"right-arm offbreak, legbreak",25.0,19.52,7.89
right-hand bat,,10.0,1.111111111111111,3388.0,33.21,149.91,293.0,140.0,buy,right-arm medium,,,
left-hand bat,,9.0,1.195402298850574,6220.0,42.02,128.75,653.0,147.0,buy,right-arm medium,,,
right-hand bat,,3.0,0.8157894736842101,1357.0,20.87,150.27,113.0,80.0,buy,legbreak googly,,,
right-hand bat,,6.0,1.220125786163522,4308.0,30.77,132.06,364.0,146.0,buy,right-arm offbreak,,,
left-hand bat,,2.0,1.141304347826087,2806.0,31.17,131.98,305.0,95.0,buy,right-arm offbreak,,,
right-hand bat,,4.0,0.9515151515151511,3589.0,25.82,134.97,346.0,134.0,buy,right-arm medium,,,
left-hand bat,,38.0,1.044502617801047,12768.0,36.79,140.09,1288.0,460.0,buy,legbreak,,,
right-hand bat,,10.0,1.257042253521126,,,,,,buy,right-arm offbreak,,,
left-hand bat,,5.0,1.398058252427184,,,,,,buy,right-arm medium,,,
right-hand bat,,19.0,1.208333333333333,,,,,,buy,right-arm medium,,,
right-hand bat,,43.0,1.209756097560975,,,,,,buy,right-arm offbreak,,,
right-hand bat,,5.0,1.113513513513513,,,,,,buy,right-arm medium,,,
left-hand bat,,0.0,1.0,,,,,,buy,slow left-arm orthodox,,,
right-hand bat,,25.0,1.18978102189781,,,,,,buy,right-arm medium,,,
right-hand bat,wicketkeeper,20.0,1.076555023923445,5310.0,30.51,137.42,462.0,235.0,buy,right-arm medium,,,
left-hand bat,wicketkeeper,23.0,1.136627906976744,10672.0,31.76,138.31,1089.0,431.0,buy,,,,
right-hand bat,wicketkeeper,13.0,1.135416666666666,5047.0,25.1,146.8,397.0,325.0,buy,right-arm medium,,,
left-hand bat,wicketkeeper,7.0,1.184971098265895,4916.0,28.41,133.11,486.0,224.0,buy,legbreak,,,
right-hand bat,wicketkeeper,17.0,1.108,6596.0,27.14,155.09,694.0,270.0,buy,right-arm offbreak,,,
right-hand bat,wicketkeeper,0.0,1.145299145299145,2625.0,26.51,150.25,244.0,124.0,buy,,,,
right-hand bat,,3.0,1.409090909090909,,,,,,buy,legbreak,2.0,15.0,7.2
right-hand bat,,5.0,1.013071895424836,,,,,,buy,right-arm fast,,7.74,17.6
right-hand bat,,9.0,1.148648648648648,,,,,,buy,left-arm fast-medium,280.0,25.47,8.03
left-hand bat,,5.0,1.370786516853932,,,,,,buy,right-arm fast-medium,136.0,22.31,7.51
right-hand bat,,3.0,1.232142857142857,,,,,,buy,right-arm fast-medium,152.0,24.9,8.45
right-hand bat,,0.0,0.951807228915662,,,,,,buy,right-arm fast-medium,81.0,31.91,8.6
left-hand bat,,0.0,1.223529411764706,,,,,,buy,left-arm medium,104.0,27.65,8.45
right-hand bat,,5.0,0.9513888888888881,,,,,,buy,right-arm fast,180.0,22.56,7.81
right-hand bat,,5.0,0.9393939393939391,,,,,,buy,left-arm wrist-spin,,7.16,19.0
right-hand bat,,1.0,1.133333333333333,,,,,,buy,legbreak googly,136.0,26.05,7.54
right-hand bat,,16.0,1.102564102564102,,,,,,buy,legbreak,301.0,16.65,6.89
right-hand bat,,3.0,1.225806451612903,,,,,,buy,left-arm wrist-spin,91.0,20.86,7.99
right-hand bat,,4.0,1.028571428571428,,,,,,buy,right-arm offbreak,191.0,24.37,6.76
right-hand bat,,16.0,1.049822064056939,,,,,,buy,legbreak googly,,7.39,17.5
right-hand bat,,1.0,1.24,826.0,41.3,124.21,86.0,26.0,buy,right-arm offbreak,,,
