bat_style,bowl_style,awards,importance,runs,batting_average,strike_rate,fours,sixes,label,field_style,wickets,bowling_average,economy_rate
right-hand bat,"right-arm offbreak, legbreak googly",10,1.207070707070707,5974.0,33.0,133.64,505.0,247.0,buy,,,,
left-hand bat,,5,1.088235294117647,2387.0,28.41,127.98,228.0,65.0,buy,wicketkeeper,,,
left-hand bat,right-arm offbreak,17,1.062305295950155,9797.0,32.98,125.34,1108.0,228.0,buy,,,,
left-hand bat,,12,1.025423728813559,4661.0,26.18,135.92,319.0,251.0,buy,,,,
left-hand bat,,9,1.193370165745856,5022.0,31.78,145.06,460.0,228.0,buy,wicketkeeper,,,
right-hand bat,right-arm medium,16,1.219917012448132,6852.0,29.66,123.88,693.0,160.0,buy,,,,
right-hand bat,right-arm offbreak,4,1.31,2902.0,25.01,151.54,338.0,124.0,buy,,,,
right-hand bat,right-arm offbreak,10,1.257042253521126,1200.0,14.81,119.88,100.0,38.0,buy,,,,
right-hand bat,right-arm medium-fast,0,1.222222222222222,19.0,9.5,79.16,2.0,1.0,buy,,7.0,33.85,7.68
left-hand bat,slow left-arm orthodox,17,1.123505976095617,3051.0,23.65,135.78,210.0,142.0,buy,,233.0,27.42,7.01
right-hand bat,right-arm fast-medium,2,1.074626865671641,1205.0,17.46,126.97,67.0,77.0,buy,,92.0,30.07,9.48
right-hand bat,left-arm fast-medium,6,0.9247311827956981,1964.0,16.78,151.07,123.0,123.0,buy,,,8.87,16.5
right-hand bat,right-arm medium,25,1.201492537313432,6304.0,30.3,137.82,524.0,272.0,buy,,,9.0,17.5
right-hand bat,right-arm fast-medium,3,1.232142857142857,88.0,8.0,120.54,7.0,5.0,buy,,152.0,24.9,8.45
left-hand bat,right-arm medium,0,1.202702702702702,44.0,7.33,115.78,4.0,1.0,buy,,118.0,21.39,8.54
right-hand bat,legbreak googly,0,1.04,,,,,,buy,,24.0,21.66,7.17
right-hand bat,legbreak googly,4,1.169117647058823,,,,,,buy,,216.0,17.18,6.71
right-hand bat,right-arm fast,5,0.9513888888888881,,,,,,buy,,180.0,22.56,7.81
right-hand bat,right-arm medium,5,1.113513513513513,,,,,,buy,,244.0,23.14,8.34
left-hand bat,right-arm fast,8,1.049751243781094,,,,,,buy,,264.0,23.55,8.05
right-hand bat,right-arm medium,5,0.923529411764705,,,,,,buy,,165.0,27.44,8.41
