bat_style,bowl_style,awards,importance,runs,batting_average,strike_rate,fours,sixes,label,field_style,wickets,bowling_average,economy_rate
right-hand bat,"right-arm offbreak, legbreak googly",10,1.207070707070707,5974.0,33.0,133.64,505.0,247.0,buy,,,,
right-hand bat,,1,0.9756097560975611,1573.0,23.13,116.77,139.0,59.0,buy,wicketkeeper,,,
right-hand bat,right-arm medium,6,1.160142348754448,7008.0,31.56,123.81,579.0,222.0,buy,,,,
right-hand bat,slow left-arm orthodox,0,1.470588235294117,54.0,287.0,0.0,17.0,,buy,,,,
right-hand bat,right-arm medium,12,1.151351351351351,4896.0,25.1,146.8,390.0,315.0,buy,wicketkeeper,,,
right-hand bat,right-arm medium,0,1.549019607843137,640.0,24.61,172.5,42.0,43.0,buy,,,,
left-hand bat,"right-arm medium, right-arm offbreak, legbreak",5,1.122222222222222,4631.0,28.41,134.89,405.0,238.0,buy,,,,
left-hand bat,right-arm fast-medium,8,1.212765957446808,2545.0,22.72,133.31,169.0,159.0,buy,,,,
left-hand bat,right-arm offbreak,4,1.092198581560283,2976.0,35.01,148.28,236.0,145.0,buy,,,,
left-hand bat,right-arm medium,0,1.398058252427184,2896.0,36.65,140.78,268.0,120.0,buy,,,,
left-hand bat,right-arm offbreak,37,1.207264957264957,4318.0,15.42,148.84,407.0,271.0,buy,,,,
left-hand bat,slow left-arm orthodox,0,1.017857142857142,657.0,21.19,150.34,51.0,32.0,buy,,37.0,33.27,7.13
right-hand bat,right-arm fast,43,0.9884393063583811,8874.0,26.89,169.31,586.0,721.0,buy,,,8.69,17.5
right-hand bat,right-arm fast-medium,0,1.040816326530612,27.0,5.4,67.5,0.0,1.0,buy,,49.0,28.26,8.18
right-hand bat,right-arm fast,1,0.923076923076923,208.0,7.7,97.65,17.0,7.0,buy,,128.0,28.54,8.11
right-hand bat,right-arm offbreak,3,1.214285714285714,,,,,,buy,,29.0,11.62,5.71
right-hand bat,right-arm fast,0,1.041666666666666,,,,,,buy,,28.0,23.64,8.94
left-hand bat,left-arm medium-fast,0,1.044444444444444,,,,,,buy,,65.0,20.16,7.69
right-hand bat,right-arm medium,0,1.0,,,,,,buy,,5.0,39.0,10.83
left-hand bat,left-arm fast,8,1.532110091743119,,,,,,buy,,193.0,20.59,7.77
right-hand bat,legbreak googly,0,0.8620689655172411,,,,,,buy,,,7.35,17.7
right-hand bat,legbreak googly,6,0.923076923076923,,,,,,buy,,124.0,22.42,7.37
