name,bat_style,field_style,awards,importance,1st position batting,2nd position batting,3rd position batting,4th position batting,5th position batting,6th position batting,runs,batting_average,batting_innings,strike_rate,fours,sixes,bowl_style,bowling_innings,wickets,bowling_average,economy_rate,2nd position bowling,3rd position bowling,4th position bowling,5th position bowling,6th position bowling,7th position bowling,7th position batting,8th position batting,9th position batting,1st position bowling,10th position batting,11th position batting,8th position bowling,9th position bowling
Kl Rahul,right-hand bat,1.0,17,1.060465116279069,47.29,38.2,24.9,49.08,20.33,25.0,7586.0,41.91,213,135.85,643,311.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ayush Badoni,right-hand bat,0.0,2,1.069444444444444,0.0,6.0,20.36,63.8,18.16,25.5,1253.0,29.13,61,135.9,101,48.0,right-arm offbreak,18.0,9.0,27.88,7.76,0.0,1.0,2.0,0.0,4.0,2.0,46.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quinton De Kock,left-hand bat,1.0,23,1.136231884057971,31.01,33.39,27.06,51.33,0.0,12.0,10672.0,31.66,366,138.25,1089,431.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Evin Lewis,left-hand bat,0.0,27,0.9274193548387091,26.82,31.16,18.0,25.5,9.0,0.0,6484.0,29.33,238,143.86,531,446.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
Manish Pandey,right-hand bat,0.0,6,1.160142348754448,25.2,36.3,31.26,32.05,36.34,44.66,7008.0,31.56,282,123.81,579,222.0,right-arm medium,10.0,10.0,21.2,7.57,0.0,0.0,1.0,1.0,4.0,4.0,21.33,7.0,0.0,0.0,0.0,0.0,0.0,0.0
Manan Vohra,right-hand bat,0.0,4,1.165289256198347,31.11,28.84,20.42,15.66,8.0,0.0,3340.0,28.79,127,126.65,332,117.0,right-arm medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Krishnappa Gowtham,right-hand bat,0.0,0,1.2784810126582271,0.0,0.0,22.77,23.0,4.0,11.55,734.0,15.29,66,158.18,62,40.0,right-arm offbreak,91.0,74.0,28.06,7.18,4.0,3.0,31.0,16.0,7.0,1.0,10.09,17.76,10.33,12.0,25.0,0.0,0.0,0.0
Jason Holder,right-hand bat,0.0,10,0.9558823529411761,0.0,0.0,17.88,14.2,17.66,17.81,2422.0,16.81,198,129.72,159,138.0,right-arm medium-fast,263.0,269.0,28.18,8.26,117.0,60.0,34.0,18.0,3.0,1.0,16.11,14.28,55.0,36.0,13.0,20.0,0.0,0.0
Deepak Hooda,right-hand bat,0.0,3,1.073891625615763,52.0,0.0,31.02,29.82,15.94,22.22,3636.0,24.56,180,138.09,253,164.0,right-arm offbreak,74.0,27.0,42.88,7.56,1.0,0.0,5.0,2.0,14.0,4.0,12.62,5.0,0.0,1.0,0.0,0.0,0.0,0.0
Kyle Mayers,left-hand bat,0.0,11,0.8609625668449191,23.78,24.82,32.44,12.3,12.75,12.57,3551.0,23.36,169,134.4,296,221.0,right-arm medium,103.0,56.0,31.05,7.61,11.0,4.0,3.0,1.0,2.0,3.0,19.3,13.0,0.0,32.0,0.0,0.0,0.0,0.0
Krunal Pandya,left-hand bat,0.0,10,1.2417582417582411,0.0,0.0,22.08,28.15,22.26,21.23,2845.0,24.11,171,130.98,242,98.0,slow left-arm orthodox,195.0,145.0,30.91,7.23,20.0,20.0,38.0,44.0,11.0,3.0,23.39,28.0,0.0,9.0,0.0,0.0,0.0,0.0
Karan Sharma,right-hand bat,0.0,0,0.0,5.0,48.0,0.0,0.0,0.0,0.0,35.0,53.0,0,0.0,1,0.0,legbreak googly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcus Stoinis,right-hand bat,0.0,25,1.189090909090909,34.9,35.28,23.31,31.83,27.73,29.8,6428.0,30.17,278,137.43,535,277.0,right-arm medium,190.0,0.0,8.98,17.5,0.0,0.0,0.0,0.0,0.0,0.0,24.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0
Avesh Khan,right-hand bat,0.0,3,1.232142857142857,0.0,0.0,0.0,0.0,0.0,0.0,88.0,8.0,28,120.54,7,5.0,right-arm fast-medium,125.0,152.0,24.9,8.45,61.0,45.0,14.0,10.0,2.0,0.0,0.0,1.0,11.33,20.0,12.66,14.0,0.0,0.0
Dushmantha Chameera,right-hand bat,0.0,1,0.9407407407407401,0.0,0.0,0.0,0.0,0.0,0.0,209.0,7.46,54,95.87,17,7.0,right-arm fast,133.0,137.0,28.06,8.16,44.0,26.0,19.0,10.0,1.0,5.0,0.0,11.8,5.38,32.0,9.37,2.5,0.0,0.0
Mohsin Khan,left-hand bat,0.0,1,1.033333333333333,0.0,0.0,0.0,0.0,0.0,0.0,101.0,8.41,19,116.09,7,4.0,left-arm medium-fast,61.0,80.0,20.35,7.6,23.0,23.0,13.0,5.0,0.0,0.0,8.5,2.0,6.0,16.0,25.0,0.0,0.0,0.0
