bat_style,bowl_style,awards,importance,runs,batting_average,strike_rate,fours,sixes,label,field_style,wickets,bowling_average,economy_rate
right-hand bat,right-arm medium,37,1.028423772609819,12886.0,41.43,134.2,1144.0,416.0,buy,,,,
right-hand bat,right-arm medium,42,1.055384615384615,9424.0,37.24,150.13,753.0,436.0,buy,wicketkeeper,,,
left-hand bat,right-arm offbreak,15,1.4,3936.0,31.48,148.47,358.0,188.0,buy,wicketkeeper,,,
right-hand bat,legbreak,0,1.032258064516129,1188.0,22.41,128.29,116.0,33.0,buy,,,,
right-hand bat,,17,1.060465116279069,7586.0,41.91,135.85,643.0,311.0,buy,wicketkeeper,,,
left-hand bat,right-arm offbreak,0,1.280898876404494,2026.0,29.79,131.98,169.0,64.0,buy,,,,
right-hand bat,right-arm medium,0,1.362903225806451,1641.0,20.01,126.13,118.0,64.0,buy,,73.0,25.87,7.58
left-hand bat,right-arm offbreak,60,0.9358974358974351,14562.0,36.22,144.75,1132.0,1056.0,buy,,83.0,31.54,7.62
left-hand bat,slow left-arm orthodox,2,1.11340206185567,426.0,17.04,99.3,38.0,9.0,buy,,86.0,27.33,6.86
right-hand bat,right-arm offbreak,3,0.94578313253012,2592.0,24.45,129.53,233.0,86.0,buy,,6.0,20.83,7.81
right-hand bat,right-arm medium-fast,0,,,,,,,buy,,,6.6,30.0
right-hand bat,right-arm offbreak,0,0.5842696629213481,840.0,19.53,105.66,68.0,22.0,buy,,60.0,27.75,6.49
right-hand bat,right-arm fast-medium,38,1.156050955414012,8821.0,29.3,138.3,785.0,467.0,buy,,216.0,27.02,7.9
right-hand bat,right-arm medium-fast,19,1.13276836158192,4453.0,23.19,144.81,296.0,244.0,buy,,,8.23,18.8
right-hand bat,right-arm fast,2,0.9081632653061221,,,,,,buy,,93.0,29.36,8.53
right-hand bat,right-arm medium-fast,0,1.064935064935064,,,,,,buy,,78.0,24.55,7.53
left-hand bat,left-arm medium-fast,1,0.9418604651162791,,,,,,buy,,103.0,21.77,7.85
right-hand bat,legbreak googly,12,1.05,,,,,,buy,,364.0,23.42,7.64
right-hand bat,legbreak googly,0,1.04,,,,,,buy,,24.0,21.66,7.17
right-hand bat,right-arm fast-medium,9,1.079889807162534,,,,,,buy,,,8.61,18.8
left-hand bat,"right-arm offbreak, slow left-arm orthodox",0,,,,,,,buy,,62.0,22.19,6.5
right-hand bat,right-arm medium,1,0.9069767441860461,,,,,,buy,,44.0,23.0,7.34
right-hand bat,right-arm medium,5,1.113513513513513,,,,,,buy,,244.0,23.14,8.34
right-hand bat,right-arm fast-medium,9,1.103260869565217,,,,,,buy,,,8.16,17.2
right-hand bat,left-arm wrist-spin,17,0.9278350515463911,,,,,,buy,,,7.41,18.1
right-hand bat,right-arm medium,0,1.2,,,,,,buy,,16.0,24.81,8.24
