bat_style,bowl_style,awards,importance,runs,batting_average,strike_rate,fours,sixes,label,field_style,wickets,bowling_average,economy_rate
left-hand bat,legbreak,38,1.047745358090185,12639.0,36.74,140.18,1276.0,458.0,buy,,,,
right-hand bat,legbreak googly,2,0.8933333333333331,1789.0,33.75,143.81,124.0,107.0,buy,,,,
left-hand bat,right-arm offbreak,17,1.062305295950155,9797.0,32.98,125.34,1108.0,228.0,buy,,,,
left-hand bat,right-arm medium,16,0.901554404145077,7780.0,26.02,131.59,584.0,367.0,buy,,,,
right-hand bat,,1,1.24223602484472,2972.0,20.92,118.78,267.0,137.0,buy,wicketkeeper,,,
right-hand bat,right-arm offbreak,1,0.8518518518518511,1546.0,24.53,125.69,145.0,65.0,buy,,,,
right-hand bat,,1,0.962121212121212,,,,,,buy,wicketkeeper,,,
right-hand bat,right-arm offbreak,15,0.99203187250996,6442.0,31.57,122.58,590.0,160.0,buy,,,,
left-hand bat,slow left-arm orthodox,12,0.915966386554621,4857.0,25.69,128.76,386.0,261.0,buy,,,,
right-hand bat,right-arm medium,0,0.8433734939759031,637.0,13.55,126.89,36.0,28.0,buy,,57.0,22.01,8.01
left-hand bat,slow left-arm orthodox,0,1.132653061224489,1203.0,23.58,138.59,81.0,55.0,buy,,84.0,21.98,6.23
right-hand bat,right-arm fast-medium,8,0.8508771929824561,2921.0,22.46,145.25,198.0,179.0,buy,,137.0,32.08,9.03
right-hand bat,right-arm fast-medium,14,1.208163265306122,5292.0,27.27,127.54,397.0,160.0,buy,,118.0,29.23,8.18
right-hand bat,right-arm offbreak,3,1.073891625615763,3636.0,24.56,138.09,253.0,164.0,buy,,27.0,42.88,7.56
right-hand bat,right-arm medium,1,0.9862068965517241,2336.0,26.24,129.77,163.0,95.0,buy,,36.0,33.02,8.18
right-hand bat,left-arm fast-medium,9,1.1581395348837211,,,,,,buy,,275.0,25.39,8.06
right-hand bat,right-arm medium,0,1.110294117647058,,,,,,buy,,182.0,22.04,7.67
right-hand bat,right-arm medium,12,0.8838709677419351,,,,,,buy,,310.0,24.92,7.26
right-hand bat,right-arm medium,0,1.212121212121212,,,,,,buy,,69.0,28.72,8.41
left-hand bat,left-arm fast-medium,11,0.974545454545454,,,,,,buy,,342.0,21.73,7.52
left-hand bat,legbreak googly,1,0.9243243243243241,,,,,,buy,,154.0,26.41,7.69
left-hand bat,left-arm medium,1,1.5,,,,,,buy,,45.0,30.06,8.4
